group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,7,6,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,5,5,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,5,7,-,-,-,-,-,-
23d,-,8,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
23d,-,-,-,-,-,-,-,-
