group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
22b,6,5,7,K,-,-,-,-
22b,6,5,7,4,-,-,-,-
22b,6,8,K,K,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,7,6,5,5,-,-,-,-
22b,-,7,8,8,-,-,-,-
22b,8,9,7,8,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,4,8,9,6,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,9,6,8,8,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,6,7,-,9,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,7,8,5,5,-,-,-,-
22b,6,6,9,6,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,-,-,-,-,-,-
22b,-,-,8,O,-,-,-,-
