group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,7,6,10,9,10,8,9,7
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
21c,-,-,-,-,-,-,-,-
