group,lmab02,lmab03,lmab04,lmab05,lmab06,lmab07,lmab08,lmab09
23e,-,6,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,7,K,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,7,4,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,-,5,-,-,-,-,-,-
23e,-,6,-,-,-,-,-,-
23e,-,7,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,7,6,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,5,4,-,-,-,-,-,-
23e,-,6,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,-,7,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,-,8,-,-,-,-,-,-
23e,-,6,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,5,5,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
23e,-,-,-,-,-,-,-,-
